Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса проживання,Телефон,Email
Юрчук,Онисим,Романович,male,1953-06-27,Музичний редактор,село Святогірськ,"набережна Олександра Білостінного, буд. 205, Маріуполь, 03526",+380 43 187-62-90,okhrimshtepa@example.org
Ковалюк,Віолетта,Василівна,female,1946-07-11,Маркетолог,селище Лохвиця,"проспект Миколи Савича, буд. 86, Зимогір'я, 90880",+380 51 644-92-53,orest26@example.net
Гаврюшенко,Орхип,Вікторович,male,1997-11-26,Фермер,селище Берестин,"провулок Горіхова, буд. 3, Ялта, 79612",015 382 23 38,zhadannataliia@example.net
Гузенко,Михайлина,Денисівна,female,1954-11-25,Публіцист,хутір Алупка,"вулиця Шкіперська, буд. 50 кв. 01, Жовква, 78874",605 20 52,tvertyporokh@example.com
Дзиндра,Надія,Максимівна,female,1992-10-16,Палеонтолог,селище Погребище,"шосе Торгова, буд. 2 кв. 7, Лиман, 73499",+380 (23) 428-45-90,karpenkomilena@example.com
Свириденко,Гліб,Олександрович,male,1948-07-26,Дерун,селище Свалява,"сквер 1-ша Лінія Марії Демченко, буд. 701 кв. 344, Карлівка, 81814",+380 88 104-74-12,prokopovychstefan@example.org
Зубко,Ярослава,Дмитрівна,female,1999-05-04,Електрослюсар,село Тальне,"провулок Розумовський 2-й, буд. 7, Прилуки, 78407",365-45-54,vriaboshapka@example.com
Бандурка,Петро,Сергійович,male,1994-09-19,Епідеміолог,місто Сквира,"проспект Гоголя, буд. 08, Прилуки, 67687",617 22 35,mishchenkoklavdiia@example.com
Оробець,Ярина,Максимівна,female,1954-12-01,Громадський діяч,хутір Зоринськ,"провулок Садиковська, буд. 10 кв. 6, Надвірна, 33566",080 860 32 50,ktykhyi@example.org
Деркач,Борислав,Романович,male,1944-08-26,Геолог,місто Гнівань,"парк Восьмого березня 8-й, буд. 230, Заставна, 99840",+380 20 484-19-08,irenamasliak@example.org
Данько,Маруся,Володимирівна,female,1992-09-20,Кінолог,місто Калинівка,"узвіз Ясна, буд. 1, Чистякове, 05800",043 428 35 73,amaliia81@example.org
Авраменко,Христина,Павлівна,female,1981-11-12,Етнограф,село Зіньків,"узвіз Миколаївська дорога, буд. 3, Тараща, 82815",+380 39 271 99 92,plytvyn@example.net
Гупало,Марта,Сергіївна,female,1956-05-10,Євнух,хутір Ірпінь,"набережна Лузанівська, буд. 9, Радивилів, 84509",456 31 15,givashchenko@example.com
Ребрик,Юхим,Андрійович,male,1997-05-15,Кінорежисер,селище Старий Крим,"набережна Флотський 3-й, буд. 742, Бунге, 37819",+380 54 217 75 60,ieva70@example.com
Заєць,Теодор,Олександрович,male,2001-04-13,Державний службовець,хутір Немирів,"вулиця Ламаний, буд. 075 кв. 562, Берестин, 16440",053 539-06-78,okseniiaiushchenko@example.com
Гаврюшенко,Костянтин,Денисович,male,1985-11-30,Ґрунтознавець,село Сокаль,"площа Ганса Германа, буд. 8, Лозова, 10012",015 432 84 80,vasylashkooleksa@example.net
Іванченко,Емілія,Владиславівна,female,2003-01-18,Медик,місто Сколе,"шосе Кришталева, буд. 259, Довжанськ, 48024",016 449-60-64,iaremchukarkadii@example.org
Дейнеко,Дмитро,Романович,male,1973-10-25,Піаніст,селище Христинівка,"проспект Скрипковий, буд. 081 кв. 31, Докучаєвськ, 24378",641 73 30,kashchenkooksana@example.org
Шевченко,Юстина,Володимирівна,female,2000-06-13,Археолог,селище Сторожинець,"парк Північна, буд. 814 кв. 3, Городня, 39755",315 28 16,dsavenko@example.org
Лесик,Орхип,Ігорович,male,2002-07-14,Гінеколог,село Гайсин,"узвіз Соні Делоне, буд. 176 кв. 78, Калинівка, 89089",002 177-38-35,tsymbaliukada@example.com
Венгринович,Валерій,Артемович,male,1938-05-07,Золотар,селище Бориспіль,"шосе Патріотична, буд. 114 кв. 0, Горішні Плавні, 55491",+380 (76) 665-68-68,rperepelytsia@example.net
Рубець,Давид,Петрович,male,1996-09-12,Електромонтер,місто Житомир,"парк Петра Калнишевського, буд. 16, Косів, 78701",370 44 82,danyloskoryk@example.com
Свистун,Пріска,Петрівна,female,1962-11-19,Агроном,селище Златопіль,"вулиця Лінія 23-тя, буд. 9, Вижниця, 75715",021 653-33-03,shovkopliasemiliia@example.org
Хомик,Миколай,Павлович,male,1941-06-22,Музикант,село Керч,"провулок Чернігівська, буд. 681, Ромни, 44195",+380 04 139-45-35,olifirenkoliudmyla@example.net
Бакуменко,Альбіна,Іванівна,female,1953-09-28,Візажист,місто Зборів,"проспект Студена, буд. 97 кв. 2, Ізяслав, 64916",+380 (77) 282-38-76,dannakabaliuk@example.com
Вівчаренко,Ростислав,Павлович,male,1971-04-26,Бібліотекар,селище Гуляйполе,"узвіз Михайла Жука, буд. 5, Ворожба, 39841",319-35-80,levko93@example.net
Венгринович,Онисим,Олександрович,male,1997-05-14,Фермер,селище Тростянець,"набережна Київське, буд. 76 кв. 1, Світлодарськ, 43219",+380 (69) 663-05-67,ieroshenkorozaliia@example.net
Вакарчук,Алевтин,Іванович,male,1946-06-29,Кіноактор,селище Броди,"шосе Маланова, буд. 012, Маріуполь, 54453",+380 60 051-36-44,vasylshyian@example.com
Абрамчук,Азар,Євгенович,male,1954-05-01,Фольклорист,місто Коростень,"шосе Наявний 4-й, буд. 45 кв. 87, Хмільник, 33223",117-54-69,rozaliiaandriishyn@example.com
Деряжна,Захар,Олександрович,male,1992-11-02,Державний службовець,село Ворожба,"шосе Вокзальний, буд. 8 кв. 41, Немирів, 24159",+380 64 367-04-27,hryhorii52@example.com
Дзюба,Ярема,Євгенович,male,2000-09-30,Євнух,місто Яремче,"набережна Соляний 6-й, буд. 2 кв. 9, Тараща, 90752",+380 (76) 841-02-14,irena44@example.org
Зінченко,Ярема,Андрійович,male,1946-03-16,Художник,хутір Жовті Води,"площа Естонський, буд. 887, Сокологірськ, 40848",+380 50 902 24 51,xhaievskyi@example.net
Шелест,Пилип,Дмитрович,male,1961-03-24,Золотар,село Баранівка,"проспект Дур'янівський, буд. 910 кв. 839, Новоазовськ, 03801",039 549-77-65,abaida@example.net
Арсенич,Анастасія,Дмитрівна,female,1990-01-10,Гицель,селище Чернівці,"сквер Донецька, буд. 32, Таврійськ, 06574",079 965-81-85,flytvyn@example.com
Скирда,Тарас,Васильович,male,1947-07-22,Детектив,хутір Жданівка,"узвіз Старорізнична, буд. 61, Ладижин, 85937",590-00-72,ihnat74@example.org
Авраменко,Антон,Романович,male,1976-01-26,Петрограф,селище Балта,"узвіз Ніли Крюкової, буд. 2, Гнівань, 88920",144 05 68,andriiparasiuk@example.org
Онищенко,Оксенія,Артемівна,female,1956-04-20,Біолог,хутір Борзна,"набережна Бориса Едуардса, буд. 7 кв. 90, Малин, 53639",+380 47 861 60 67,martynostapchuk@example.com
Корж,Роксолана,Володимирівна,female,1974-09-21,Золотар,селище Заліщики,"шосе Полуничний, буд. 8, Нова Каховка, 76175",988 01 28,iaremapoltavets@example.com
Щорс,Ірена,Денисівна,female,1977-10-24,Сантехнік,село Лиман,"набережна Долинська, буд. 465 кв. 6, Одеса, 60465",+380 09 127-14-47,bohdannashablii@example.org
Масоха,Марко,Денисович,male,1976-02-28,Лікар,хутір Очаків,"проспект Наявний 4-й, буд. 502 кв. 23, Рахів, 25470",087 418-66-45,wlevchenko@example.org
Каденюк,Ганна,Павлівна,female,1957-03-09,Антрополог,місто Вараш,"узвіз Заводська 2-га, буд. 373, Трускавець, 17281",+380 66 589-61-56,roksolana61@example.net
